dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,sql_command,tasks,context_switches,physical_io,locks,additional_info
00 00:00:00.000,56,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_reporting,,29,4,35,,265,5,0,2577,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:00.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:00.000,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",1,325,2,KEY: OBJECT: shared 1,
00 00:00:02.000,55,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_orders,ASYNC_NETWORK_IO,27,5,28,,380,11,4,2732,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:00:04.000,2026-07-12 18:00:00.000,0,2026-07-14 09:00:06.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,184,3,,
00 00:00:00.000,56,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,svc_reporting,,6,12,5,,16,15,0,478,running,,1,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:12.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:12.000,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,1,248,4,,
00 00:00:00.000,82,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_inventory,ASYNC_NETWORK_IO,35,11,19,,5,14,3,1431,sleeping,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:00:18.000,2026-07-14 06:00:00.000,0,2026-07-14 09:00:18.000,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',1,52,2,,
00 00:00:03.000,56,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,,35,8,18,,603,0,1,2783,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:15.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:18.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,130,3,,
00 00:00:02.000,55,"MERGE dbo.ReportingSnapshot AS tgt USING dbo.Orders AS src ON tgt.OrderId = src.OrderId WHEN MATCHED THEN UPDATE SET tgt.Status = src.Status WHEN NOT MATCHED THEN INSERT (OrderId, Status) VALUES (src.OrderId, src.Status)",svc_orders,,20,0,17,,625,10,3,1062,running,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:00:16.000,2026-07-12 18:00:00.000,0,2026-07-14 09:00:18.000,"MERGE dbo.ReportingSnapshot AS tgt USING dbo.Orders AS src ON tgt.OrderId = src.OrderId WHEN MATCHED THEN UPDATE SET tgt.Status = src.Status WHEN NOT MATCHED THEN INSERT (OrderId, Status) VALUES (src.OrderId, src.Status)",1,292,6,,
00 00:00:03.000,70,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,app_batch,,10,0,10,,796,5,4,1726,sleeping,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:00:21.000,2026-07-14 04:00:00.000,0,2026-07-14 09:00:24.000,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,1,204,7,KEY: OBJECT: shared 1,
00 00:00:02.000,70,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",app_batch,ASYNC_NETWORK_IO,26,5,11,,286,0,0,2926,sleeping,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:00:28.000,2026-07-14 04:00:00.000,0,2026-07-14 09:00:30.000,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",1,147,7,KEY: OBJECT: shared 1,
00 00:00:03.000,56,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_reporting,,38,6,23,,50,10,5,1620,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:27.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:30.000,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",1,365,4,,
00 00:00:01.000,56,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_reporting,,31,8,37,,616,5,4,2252,sleeping,,1,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:35.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:36.000,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,1,310,9,,
00 00:00:01.000,55,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_orders,ASYNC_NETWORK_IO,25,20,33,,830,9,4,2253,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:00:41.000,2026-07-12 18:00:00.000,0,2026-07-14 09:00:42.000,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,1,114,7,,
00 00:00:01.000,56,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_reporting,,28,5,0,,648,6,3,656,sleeping,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:41.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:42.000,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,1,73,10,,
00 00:00:03.000,82,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_inventory,ASYNC_NETWORK_IO,25,17,27,,807,6,0,3231,running,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:00:45.000,2026-07-14 06:00:00.000,0,2026-07-14 09:00:48.000,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',1,74,5,KEY: OBJECT: shared 1,
