collection_time,Processor_Pct_Time,SQLServer_Processes_Pct_Time,Signal_Wait_Time_Pct,Batch_Requests_Per_Sec,Runnable_Tasks_Count
2026-05-20 11:05:00.000,45,45,8,138,2
2026-05-20 11:05:05.000,46,43,9,106,2
2026-05-20 11:05:10.000,47,47,10,218,3
2026-05-20 11:05:15.000,48,46,11,218,3
2026-05-20 11:05:20.000,49,47,12,87,4
2026-05-20 11:05:25.000,50,49,13,205,4
2026-05-20 11:05:30.000,51,49,14,209,5
2026-05-20 11:05:35.000,52,51,15,218,5
2026-05-20 11:05:40.000,53,51,16,117,6
2026-05-20 11:05:45.000,54,53,17,118,6
2026-05-20 11:05:50.000,55,53,18,143,7
2026-05-20 11:05:55.000,56,54,19,114,7
2026-05-20 11:06:00.000,57,56,20,157,8
2026-05-20 11:06:05.000,58,56,21,97,8
2026-05-20 11:06:10.000,59,59,22,224,9
2026-05-20 11:06:15.000,60,59,23,140,9
2026-05-20 11:06:20.000,61,58,24,122,10
2026-05-20 11:06:25.000,62,60,25,206,10
2026-05-20 11:06:30.000,63,62,26,192,11
2026-05-20 11:06:35.000,64,61,27,172,11
2026-05-20 11:06:40.000,65,65,28,156,12
2026-05-20 11:06:45.000,66,66,29,210,12
2026-05-20 11:06:50.000,67,64,30,115,13
2026-05-20 11:06:55.000,68,68,31,113,13
2026-05-20 11:07:00.000,69,69,32,130,14
2026-05-20 11:07:05.000,70,68,33,155,14
2026-05-20 11:07:10.000,71,69,34,122,15
2026-05-20 11:07:15.000,72,70,35,107,15
2026-05-20 11:07:20.000,73,72,36,89,16
2026-05-20 11:07:25.000,74,73,37,88,16
2026-05-20 11:07:30.000,75,72,38,116,17
2026-05-20 11:07:35.000,76,74,39,83,17
2026-05-20 11:07:40.000,77,76,40,226,18
2026-05-20 11:07:45.000,78,78,41,239,18
2026-05-20 11:07:50.000,79,78,42,183,19
2026-05-20 11:07:55.000,80,80,43,257,19
2026-05-20 11:08:00.000,81,79,44,225,20
2026-05-20 11:08:05.000,82,79,45,100,20
2026-05-20 11:08:10.000,83,81,46,167,21
2026-05-20 11:08:15.000,84,83,47,224,21
2026-05-20 11:08:20.000,85,84,48,154,22
2026-05-20 11:08:25.000,86,86,49,254,22
2026-05-20 11:08:30.000,87,86,50,224,23
2026-05-20 11:08:35.000,88,86,51,88,23
2026-05-20 11:08:40.000,89,86,52,82,24
2026-05-20 11:08:45.000,90,89,53,118,24
2026-05-20 11:08:50.000,91,90,54,237,25
2026-05-20 11:08:55.000,92,89,55,89,25
2026-05-20 11:09:00.000,93,93,56,173,26
2026-05-20 11:09:05.000,94,94,57,152,26
