dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,sql_command,tasks,context_switches,physical_io
00 00:30:00.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=272 lastwaittype=SOS_SCHEDULER_YIELD,400,4,4,,40000,0,16,7318,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:00.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,6602,3
00 00:09:55.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=595000 lastwaittype=LCK_M_S,43,0,0,44.0,22,0,0,440,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:00.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,34,0
00 00:07:55.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=475000 lastwaittype=LCK_M_S,34,0,0,44.0,126,0,0,162,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:00.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,52,0
00 00:04:55.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=295000 lastwaittype=LCK_M_S,47,0,0,44.0,77,0,0,396,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:00.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,24,0
00 00:30:05.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=387 lastwaittype=SOS_SCHEDULER_YIELD,590,4,0,,40900,0,19,5855,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:05.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,7763,0
00 00:10:00.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=600000 lastwaittype=LCK_M_S,16,0,0,44.0,329,0,0,447,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:05.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,13,0
00 00:08:00.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=480000 lastwaittype=LCK_M_S,44,0,0,44.0,75,0,0,294,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:05.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,60,0
00 00:05:00.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=300000 lastwaittype=LCK_M_S,48,0,0,44.0,365,0,0,466,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:05.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,42,0
00 00:30:10.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=165 lastwaittype=SOS_SCHEDULER_YIELD,780,2,4,,41800,0,14,5087,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:10.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,4195,0
00 00:10:05.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=605000 lastwaittype=LCK_M_S,8,0,0,44.0,30,0,0,314,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:10.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,12,0
