collection_time,SQL_Compilations_Per_Sec,SQL_Re_Compilations_Per_Sec,Batch_Requests_Per_Sec,Cache_Hit_Ratio_Plan_Cache_Pct,RESOURCE_SEMAPHORE_QUERY_COMPILE_waiting_tasks
2026-09-02 08:40:00.000,300,8,321,55,3
2026-09-02 08:40:04.000,330,12,361,54,3
2026-09-02 08:40:08.000,360,13,417,53,3
2026-09-02 08:40:12.000,390,4,445,52,4
2026-09-02 08:40:16.000,420,2,468,51,4
2026-09-02 08:40:20.000,450,11,496,50,4
2026-09-02 08:40:24.000,480,3,506,49,5
2026-09-02 08:40:28.000,510,13,531,48,5
2026-09-02 08:40:32.000,540,11,581,47,5
2026-09-02 08:40:36.000,570,10,603,46,6
2026-09-02 08:40:40.000,600,14,645,45,6
2026-09-02 08:40:44.000,630,11,680,44,6
2026-09-02 08:40:48.000,660,15,709,43,7
2026-09-02 08:40:52.000,690,10,744,42,7
2026-09-02 08:40:56.000,720,4,765,41,7
2026-09-02 08:41:00.000,750,9,792,40,8
2026-09-02 08:41:04.000,780,6,819,39,8
2026-09-02 08:41:08.000,810,15,830,38,8
2026-09-02 08:41:12.000,840,15,889,37,9
2026-09-02 08:41:16.000,870,9,928,36,9
2026-09-02 08:41:20.000,900,11,945,35,9
2026-09-02 08:41:24.000,930,2,988,34,10
2026-09-02 08:41:28.000,960,9,1012,33,10
2026-09-02 08:41:32.000,990,10,1039,32,10
2026-09-02 08:41:36.000,1020,8,1041,31,11
2026-09-02 08:41:40.000,1050,7,1110,30,11
2026-09-02 08:41:44.000,1080,6,1137,29,11
2026-09-02 08:41:48.000,1110,15,1149,28,12
2026-09-02 08:41:52.000,1140,5,1181,27,12
2026-09-02 08:41:56.000,1170,9,1208,26,12
2026-09-02 08:42:00.000,1200,9,1223,25,13
2026-09-02 08:42:04.000,1230,14,1271,24,13
2026-09-02 08:42:08.000,1260,15,1283,23,13
2026-09-02 08:42:12.000,1290,12,1322,22,14
2026-09-02 08:42:16.000,1320,13,1357,21,14
2026-09-02 08:42:20.000,1350,5,1387,20,14
2026-09-02 08:42:24.000,1380,7,1413,19,15
2026-09-02 08:42:28.000,1410,12,1454,18,15
2026-09-02 08:42:32.000,1440,5,1477,17,15
2026-09-02 08:42:36.000,1450,14,1507,16,16
