collection_time,Active_Worker_Threads,Max_Worker_Threads,Work_Queue_Count,Pending_DiskIO_Count
2026-04-11 03:15:00.000,470,512,0,2
2026-04-11 03:15:05.000,471,512,0,4
2026-04-11 03:15:10.000,472,512,0,3
2026-04-11 03:15:15.000,473,512,0,0
2026-04-11 03:15:20.000,474,512,0,2
2026-04-11 03:15:25.000,475,512,0,1
2026-04-11 03:15:30.000,476,512,0,1
2026-04-11 03:15:35.000,477,512,0,2
2026-04-11 03:15:40.000,478,512,0,0
2026-04-11 03:15:45.000,479,512,0,3
2026-04-11 03:15:50.000,480,512,0,6
2026-04-11 03:15:55.000,481,512,3,6
2026-04-11 03:16:00.000,482,512,6,1
2026-04-11 03:16:05.000,483,512,9,4
2026-04-11 03:16:10.000,484,512,12,3
2026-04-11 03:16:15.000,485,512,15,2
2026-04-11 03:16:20.000,486,512,18,4
2026-04-11 03:16:25.000,487,512,21,1
2026-04-11 03:16:30.000,488,512,24,4
2026-04-11 03:16:35.000,489,512,27,2
2026-04-11 03:16:40.000,490,512,30,0
2026-04-11 03:16:45.000,491,512,33,0
2026-04-11 03:16:50.000,492,512,36,3
2026-04-11 03:16:55.000,493,512,39,1
2026-04-11 03:17:00.000,494,512,42,0
2026-04-11 03:17:05.000,495,512,45,2
2026-04-11 03:17:10.000,496,512,48,2
2026-04-11 03:17:15.000,497,512,51,1
2026-04-11 03:17:20.000,498,512,54,3
2026-04-11 03:17:25.000,499,512,57,3
2026-04-11 03:17:30.000,500,512,60,6
2026-04-11 03:17:35.000,501,512,63,1
2026-04-11 03:17:40.000,502,512,66,2
2026-04-11 03:17:45.000,503,512,69,1
2026-04-11 03:17:50.000,504,512,72,5
2026-04-11 03:17:55.000,505,512,75,1
2026-04-11 03:18:00.000,506,512,78,3
2026-04-11 03:18:05.000,507,512,81,3
2026-04-11 03:18:10.000,508,512,84,4
2026-04-11 03:18:15.000,509,512,87,4
2026-04-11 03:18:20.000,510,512,90,0
2026-04-11 03:18:25.000,511,512,93,3
2026-04-11 03:18:30.000,512,512,96,5
2026-04-11 03:18:35.000,512,512,96,6
2026-04-11 03:18:40.000,512,512,96,5
