collection_time,Memory_Grants_Pending,Memory_Grants_Outstanding,Granted_Workspace_Memory_KB,Tempdb_Data_File_Size_KB,RESOURCE_SEMAPHORE_waiting_tasks
2026-03-08 22:10:00.000,1,3,786432,512000,0
2026-03-08 22:10:08.000,0,1,787632,546000,0
2026-03-08 22:10:16.000,0,3,788832,580000,1
2026-03-08 22:10:24.000,1,1,790032,614000,1
2026-03-08 22:10:32.000,0,2,791232,648000,0
2026-03-08 22:10:40.000,1,2,792432,682000,0
2026-03-08 22:10:48.000,0,3,793632,716000,0
2026-03-08 22:10:56.000,0,3,794832,750000,1
2026-03-08 22:11:04.000,0,3,796032,784000,0
2026-03-08 22:11:12.000,1,1,797232,818000,0
2026-03-08 22:11:20.000,0,2,798432,852000,0
2026-03-08 22:11:28.000,0,1,799632,886000,0
2026-03-08 22:11:36.000,0,3,800832,920000,0
2026-03-08 22:11:44.000,0,3,802032,954000,1
2026-03-08 22:11:52.000,1,2,803232,988000,0
2026-03-08 22:12:00.000,0,2,804432,1022000,0
2026-03-08 22:12:08.000,1,3,805632,1056000,0
2026-03-08 22:12:16.000,0,2,806832,1090000,1
2026-03-08 22:12:24.000,0,1,808032,1124000,0
2026-03-08 22:12:32.000,1,3,809232,1158000,0
2026-03-08 22:12:40.000,0,3,810432,1192000,0
2026-03-08 22:12:48.000,0,3,811632,1226000,1
2026-03-08 22:12:56.000,0,2,812832,1260000,0
2026-03-08 22:13:04.000,0,2,814032,1294000,1
2026-03-08 22:13:12.000,0,1,815232,1328000,0
2026-03-08 22:13:20.000,1,2,816432,1362000,0
2026-03-08 22:13:28.000,0,3,817632,1396000,0
2026-03-08 22:13:36.000,0,2,818832,1430000,0
2026-03-08 22:13:44.000,0,2,820032,1464000,0
2026-03-08 22:13:52.000,0,2,821232,1498000,1
2026-03-08 22:14:00.000,0,3,822432,1532000,1
2026-03-08 22:14:08.000,0,3,823632,1566000,1
2026-03-08 22:14:16.000,0,1,824832,1600000,1
2026-03-08 22:14:24.000,0,3,826032,1634000,0
2026-03-08 22:14:32.000,0,2,827232,1668000,0
