dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time
00 00:00:00.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,0,0,7,,12000,0,31,1768,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:00.000
00 00:00:07.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,6860,4,8,,15100,0,19,1281,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:07.000
00 00:00:14.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,13720,3,4,,18200,0,24,1763,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:14.000
00 00:00:21.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,20580,10,2,,21300,0,34,1456,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:21.000
00 00:00:28.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,27440,1,7,,24400,0,31,1476,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:28.000
00 00:00:35.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,34300,5,5,,27500,0,1,1382,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:35.000
00 00:00:42.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,41160,1,2,,30600,0,26,1367,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:42.000
00 00:00:49.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,48020,9,5,,33700,0,35,1863,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:49.000
00 00:00:56.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,54880,0,5,,36800,0,37,1896,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:00:56.000
00 00:01:03.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,61740,9,6,,39900,0,31,1049,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:03.000
00 00:01:10.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,68600,5,3,,43000,0,2,1975,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:10.000
00 00:01:17.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,75460,7,1,,46100,0,29,2011,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:17.000
00 00:01:24.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,82320,3,5,,49200,0,12,1374,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:24.000
00 00:01:31.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,89180,10,6,,52300,0,33,1524,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:31.000
00 00:01:38.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,96040,6,9,,55400,0,24,1589,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:38.000
00 00:01:45.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,102900,1,3,,58500,0,25,1744,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:45.000
00 00:01:52.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,109760,10,2,,61600,0,1,1353,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:52.000
00 00:01:59.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,116620,6,3,,64700,0,39,1241,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:01:59.000
00 00:02:06.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,123480,8,10,,67800,0,31,1221,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:06.000
00 00:02:13.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,130340,5,0,,70900,0,40,1850,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:13.000
00 00:02:20.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,137200,3,5,,74000,0,5,1837,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:20.000
00 00:02:27.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,144060,5,6,,77100,0,22,1138,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:27.000
00 00:02:34.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,150920,8,0,,80200,0,4,1229,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:34.000
00 00:02:41.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,157780,1,5,,83300,0,0,1711,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:41.000
00 00:02:48.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,164640,1,5,,86400,0,8,1139,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:48.000
00 00:02:55.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,171500,6,3,,89500,0,14,1926,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:02:55.000
00 00:03:02.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,178360,1,1,,92600,0,37,1528,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:03:02.000
00 00:03:09.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,185220,4,9,,95700,0,29,1919,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:03:09.000
00 00:03:16.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,192080,3,2,,98800,0,23,1833,runnable,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:03:16.000
00 00:03:23.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,198940,10,8,,101900,0,23,1270,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:03:23.000
00 00:03:30.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,205800,3,9,,105000,0,31,1039,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:03:30.000
00 00:03:37.000,205,"SELECT AccountId, dbo.ufn_ComputeStatementSummary(AccountId) AS Summary FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_billing,,212660,0,3,,108100,0,40,1336,running,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-02-17 13:00:00.000,2026-02-17 12:59:00.000,0,2026-02-17 13:03:37.000
