dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,additional_info
00 00:00:40.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,9000,8,8,,120000,24000,220,3100,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:14:00.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:00:08.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=6000 lastwaittype=LCK_M_U,20,0,0,58,40,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:14:00.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:01:10.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,13300,8,8,,162000,40500,340,4200,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:14:30.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:00:38.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=36000 lastwaittype=LCK_M_U,24,0,0,58,52,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:14:30.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:01:40.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,17600,8,8,,204000,57000,510,3800,runnable,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:15:00.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:01:08.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=66000 lastwaittype=LCK_M_U,28,0,0,58,64,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:15:00.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:00:12.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=4000 lastwaittype=LCK_M_S,15,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:15:00.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:02:10.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,21900,8,8,,246000,73500,300,5100,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:15:30.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:01:38.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=96000 lastwaittype=LCK_M_U,32,0,0,58,76,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:15:30.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:00:42.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=33000 lastwaittype=LCK_M_S,18,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:15:30.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
