dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,reads,writes,physical_reads,used_memory,tempdb_allocations,tempdb_current,blocking_session_id,blocked_session_count,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,tasks
00 00:00:03.000,200,EXEC dbo.usp_ProcessQueueItem @id = @p1,svc_worker,THREADPOOL waittime=200 lastwaittype=THREADPOOL,0,0,,,,,,,,suspended,,0,0.0,JOB-APP-01,JobDB,QueueRunner,2026-09-04 01:04:57.000,2026-09-04 00:55:00.000,0,2026-09-04 01:05:00.000,0
00 00:00:03.000,201,EXEC dbo.usp_ProcessQueueItem @id = @p1,svc_worker,THREADPOOL waittime=200 lastwaittype=THREADPOOL,0,0,,,,,,,,suspended,,0,0.0,JOB-APP-01,JobDB,QueueRunner,2026-09-04 01:04:57.000,2026-09-04 00:55:00.000,0,2026-09-04 01:05:00.000,0
00 00:00:02.000,300,SELECT * FROM dbo.Catalog WHERE RegionId = 1000 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=500 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:04:58.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:00.000,0
00 00:00:02.000,301,SELECT * FROM dbo.Catalog WHERE RegionId = 1001 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=500 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:04:58.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:00.000,0
00 00:00:02.000,302,SELECT * FROM dbo.Catalog WHERE RegionId = 1002 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=500 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:04:58.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:00.000,0
00 00:00:02.000,303,SELECT * FROM dbo.Catalog WHERE RegionId = 1003 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=500 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:04:58.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:00.000,0
00 00:00:03.000,200,EXEC dbo.usp_ProcessQueueItem @id = @p1,svc_worker,THREADPOOL waittime=250 lastwaittype=THREADPOOL,0,0,,,,,,,,suspended,,0,0.0,JOB-APP-01,JobDB,QueueRunner,2026-09-04 01:05:17.000,2026-09-04 00:55:00.000,0,2026-09-04 01:05:20.000,0
00 00:00:03.000,201,EXEC dbo.usp_ProcessQueueItem @id = @p1,svc_worker,THREADPOOL waittime=250 lastwaittype=THREADPOOL,0,0,,,,,,,,suspended,,0,0.0,JOB-APP-01,JobDB,QueueRunner,2026-09-04 01:05:17.000,2026-09-04 00:55:00.000,0,2026-09-04 01:05:20.000,0
00 00:00:03.000,202,EXEC dbo.usp_ProcessQueueItem @id = @p1,svc_worker,THREADPOOL waittime=250 lastwaittype=THREADPOOL,0,0,,,,,,,,suspended,,0,0.0,JOB-APP-01,JobDB,QueueRunner,2026-09-04 01:05:17.000,2026-09-04 00:55:00.000,0,2026-09-04 01:05:20.000,0
00 00:00:03.000,203,EXEC dbo.usp_ProcessQueueItem @id = @p1,svc_worker,THREADPOOL waittime=250 lastwaittype=THREADPOOL,0,0,,,,,,,,suspended,,0,0.0,JOB-APP-01,JobDB,QueueRunner,2026-09-04 01:05:17.000,2026-09-04 00:55:00.000,0,2026-09-04 01:05:20.000,0
00 00:00:02.000,300,SELECT * FROM dbo.Catalog WHERE RegionId = 1010 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=600 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:05:18.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:20.000,0
00 00:00:02.000,301,SELECT * FROM dbo.Catalog WHERE RegionId = 1011 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=600 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:05:18.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:20.000,0
00 00:00:02.000,302,SELECT * FROM dbo.Catalog WHERE RegionId = 1012 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=600 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:05:18.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:20.000,0
00 00:00:02.000,303,SELECT * FROM dbo.Catalog WHERE RegionId = 1013 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=600 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:05:18.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:20.000,0
00 00:00:02.000,304,SELECT * FROM dbo.Catalog WHERE RegionId = 1014 AND Active = 1,svc_rpt,RESOURCE_SEMAPHORE_QUERY_COMPILE waittime=600 lastwaittype=RESOURCE_SEMAPHORE_QUERY_COMPILE,0,0,,,,,,,,suspended,,0,0.0,RPT-APP-02,CatalogDB,ReportBuilder,2026-09-04 01:05:18.000,2026-09-04 00:58:20.000,0,2026-09-04 01:05:20.000,0
