dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,reads,writes,physical_reads,used_memory,tempdb_allocations,tempdb_current,blocking_session_id,blocked_session_count,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time
00 00:00:05.000,90,SELECT TOP 100 * FROM dbo.Customer ORDER BY CustomerId,app_user,ASYNC_NETWORK_IO,12,210,,,,,,,,runnable,,0,0.0,APP-01,CrmDB,.Net SqlClient,2026-09-05 08:59:55.000,2026-09-05 08:59:00.000,0,2026-09-05 09:00:00.000
00 00:00:02.000,91,WAITFOR DELAY '00:00:05',svc_poll,WAITFOR,0,0,,,,,,,,suspended,,0,0.0,APP-02,CrmDB,Poller,2026-09-05 08:59:58.000,2026-09-05 08:55:00.000,0,2026-09-05 09:00:00.000
00 00:00:01.000,92,,sa,,0,0,,,,,,,,sleeping,,0,0.0,APP-03,CrmDB,SSMS,2026-09-05 08:59:59.000,2026-09-05 08:45:00.000,0,2026-09-05 09:00:00.000
00 00:00:06.000,90,SELECT TOP 100 * FROM dbo.Customer ORDER BY CustomerId,app_user,ASYNC_NETWORK_IO,12,210,,,,,,,,runnable,,0,0.0,APP-01,CrmDB,.Net SqlClient,2026-09-05 09:00:25.000,2026-09-05 08:59:00.000,0,2026-09-05 09:00:30.000
00 00:00:02.000,91,WAITFOR DELAY '00:00:05',svc_poll,WAITFOR,0,0,,,,,,,,suspended,,0,0.0,APP-02,CrmDB,Poller,2026-09-05 09:00:28.000,2026-09-05 08:55:00.000,0,2026-09-05 09:00:30.000
00 00:00:01.000,92,,sa,,0,0,,,,,,,,sleeping,,0,0.0,APP-03,CrmDB,SSMS,2026-09-05 09:00:29.000,2026-09-05 08:45:00.000,0,2026-09-05 09:00:30.000
00 00:00:07.000,90,SELECT TOP 100 * FROM dbo.Customer ORDER BY CustomerId,app_user,ASYNC_NETWORK_IO,12,210,,,,,,,,runnable,,0,0.0,APP-01,CrmDB,.Net SqlClient,2026-09-05 09:00:55.000,2026-09-05 08:59:00.000,0,2026-09-05 09:01:00.000
00 00:00:02.000,91,WAITFOR DELAY '00:00:05',svc_poll,WAITFOR,0,0,,,,,,,,suspended,,0,0.0,APP-02,CrmDB,Poller,2026-09-05 09:00:58.000,2026-09-05 08:55:00.000,0,2026-09-05 09:01:00.000
00 00:00:01.000,92,,sa,,0,0,,,,,,,,sleeping,,0,0.0,APP-03,CrmDB,SSMS,2026-09-05 09:00:59.000,2026-09-05 08:45:00.000,0,2026-09-05 09:01:00.000
00 00:00:08.000,90,SELECT TOP 100 * FROM dbo.Customer ORDER BY CustomerId,app_user,ASYNC_NETWORK_IO,12,210,,,,,,,,runnable,,0,0.0,APP-01,CrmDB,.Net SqlClient,2026-09-05 09:01:25.000,2026-09-05 08:59:00.000,0,2026-09-05 09:01:30.000
00 00:00:02.000,91,WAITFOR DELAY '00:00:05',svc_poll,WAITFOR,0,0,,,,,,,,suspended,,0,0.0,APP-02,CrmDB,Poller,2026-09-05 09:01:28.000,2026-09-05 08:55:00.000,0,2026-09-05 09:01:30.000
00 00:00:01.000,92,,sa,,0,0,,,,,,,,sleeping,,0,0.0,APP-03,CrmDB,SSMS,2026-09-05 09:01:29.000,2026-09-05 08:45:00.000,0,2026-09-05 09:01:30.000
00 00:00:09.000,90,SELECT TOP 100 * FROM dbo.Customer ORDER BY CustomerId,app_user,ASYNC_NETWORK_IO,12,210,,,,,,,,runnable,,0,0.0,APP-01,CrmDB,.Net SqlClient,2026-09-05 09:01:55.000,2026-09-05 08:59:00.000,0,2026-09-05 09:02:00.000
00 00:00:02.000,91,WAITFOR DELAY '00:00:05',svc_poll,WAITFOR,0,0,,,,,,,,suspended,,0,0.0,APP-02,CrmDB,Poller,2026-09-05 09:01:58.000,2026-09-05 08:55:00.000,0,2026-09-05 09:02:00.000
00 00:00:01.000,92,,sa,,0,0,,,,,,,,sleeping,,0,0.0,APP-03,CrmDB,SSMS,2026-09-05 09:01:59.000,2026-09-05 08:45:00.000,0,2026-09-05 09:02:00.000
00 00:00:10.000,90,SELECT TOP 100 * FROM dbo.Customer ORDER BY CustomerId,app_user,ASYNC_NETWORK_IO,12,210,,,,,,,,runnable,,0,0.0,APP-01,CrmDB,.Net SqlClient,2026-09-05 09:02:25.000,2026-09-05 08:59:00.000,0,2026-09-05 09:02:30.000
00 00:00:02.000,91,WAITFOR DELAY '00:00:05',svc_poll,WAITFOR,0,0,,,,,,,,suspended,,0,0.0,APP-02,CrmDB,Poller,2026-09-05 09:02:28.000,2026-09-05 08:55:00.000,0,2026-09-05 09:02:30.000
00 00:00:01.000,92,,sa,,0,0,,,,,,,,sleeping,,0,0.0,APP-03,CrmDB,SSMS,2026-09-05 09:02:29.000,2026-09-05 08:45:00.000,0,2026-09-05 09:02:30.000
